vehicle_id,shape_collider,length,width
92363,passenger,5,1.8
92364,motorcycle,2.2,0.9
92365,delivery,6.5,2.16
92366,bus,12,2.5
92367,motorcycle,2.2,0.9
92368,delivery,6.5,2.16
92369,motorcycle,2.2,0.9
92370,delivery,6.5,2.16
92371,delivery,6.5,2.16
92372,delivery,6.5,2.16
92373,passenger,5,1.8
92374,passenger,5,1.8
92375,delivery,6.5,2.16
92376,delivery,6.5,2.16
92377,passenger,5,1.8
92378,delivery,6.5,2.16
92379,delivery,6.5,2.16
92380,passenger,5,1.8
92381,passenger,5,1.8
92382,delivery,6.5,2.16
92383,delivery,6.5,2.16
92384,moped,2.1,0.8
92385,delivery,6.5,2.16
92386,delivery,6.5,2.16
92387,delivery,6.5,2.16
92388,passenger,5,1.8
92389,passenger,5,1.8
92390,passenger,5,1.8
92391,delivery,6.5,2.16
92392,delivery,6.5,2.16
92393,delivery,6.5,2.16
92394,motorcycle,2.2,0.9
92395,passenger,5,1.8
92396,motorcycle,2.2,0.9
92397,passenger,5,1.8
92398,delivery,6.5,2.16
92399,passenger,5,1.8
92400,passenger,5,1.8
92401,motorcycle,2.2,0.9
92402,passenger,5,1.8
92403,passenger,5,1.8
92404,delivery,6.5,2.16
92405,passenger,5,1.8
92406,passenger,5,1.8
92408,motorcycle,2.2,0.9
92410,motorcycle,2.2,0.9
92411,passenger,5,1.8
92412,delivery,6.5,2.16
92413,motorcycle,2.2,0.9
92414,passenger,5,1.8
92415,delivery,6.5,2.16
92416,passenger,5,1.8
92417,passenger,5,1.8
92418,passenger,5,1.8
92419,bus,12,2.5
92420,bus,12,2.5
92421,moped,2.1,0.8
92422,delivery,6.5,2.16
92423,passenger,5,1.8
92424,passenger,5,1.8
92425,passenger,5,1.8
92426,delivery,6.5,2.16
92427,delivery,6.5,2.16
92428,passenger,5,1.8
92429,passenger,5,1.8
92430,delivery,6.5,2.16
92431,passenger,5,1.8
92432,delivery,6.5,2.16
92433,passenger,5,1.8
92434,motorcycle,2.2,0.9
92435,passenger,5,1.8
92436,delivery,6.5,2.16
92437,delivery,6.5,2.16
92438,delivery,6.5,2.16
